360browser.exe,0xb896e0e1
ExtSelectClipRgnW,0x8c609f3e
ExtTextOut,0x24c267d6
ExtTextOutA,0xbc4d2b0d
ExtTextOutW,0x48999e5c
ExtractAssociatedIcon,0xa403606
ExtractAssociatedIconA,0x3ab07b88
ExtractAssociatedIconW,0xce64ced9
ExtractIcon,0x212de04a
ExtractIconA,0x45f11be5
ExtractIconW,0xb125aeb4
ExtractIconEx,0x3895346b
ExtractIconExA,0x981b36f
ExtractIconExW,0xfd55063e
FatalAppExit,0x3dcff99
FatalAppExitA,0x5a096994
FatalAppExitW,0xaedddcc5
FatalExit,0xc5f288a1
FatalExitA,0x72cdff7d
FatalExitW,0x86194a2c
FiberProc,0xe981512f
FiberProcA,0x78e12283
FiberProcW,0x8c3597d2
FileEncryptionStatus,0xf149019d
FileEncryptionStatusA,0x5d963873
FileEncryptionStatusW,0xa9428d22
FileIOCompletionRoutine,0xc0ab808
FileIOCompletionRoutineA,0xdd0e1c01
FileIOCompletionRoutineW,0x29daa950
FileTimeToDosDateTime,0xc44c8dd8
FileTimeToDosDateTimeA,0x5b1588e0
FileTimeToDosDateTimeW,0xafc13db1
FileTimeToLocalFileTime,0x73dcc69b
FileTimeToLocalFileTimeA,0xb4770881
FileTimeToLocalFileTimeW,0x40a3bdd0
FileTimeToSystemTime,0x68940756
FileTimeToSystemTimeA,0x51b9fe4d
FileTimeToSystemTimeW,0xa56d4b1c
FillConsoleOutputAttribute,0x77722517
FillConsoleOutputAttributeA,0x507d6969
FillConsoleOutputAttributeW,0xa4a9dc38
FillConsoleOutputCharacter,0x1e727ad8
FillConsoleOutputCharacterA,0x5bcfb617
FillConsoleOutputCharacterW,0xaf1b0346
FillMemory,0x17bf2bab
FillMemoryA,0x92ca5bc0
FillMemoryW,0x661eee91
FillPath,0x3d28b375
FillPathA,0xf38b338b
FillPathW,0x75f86da
FillRect,0x81aa0bfb
FillRectA,0xf9371f14
FillRectW,0xde3aa45
FillRgn,0x57f058b9
FillRgnA,0x613365fb
FillRgnW,0x95e7d0aa
FindAtom,0x6b8437cb
FindAtomA,0xdf040184
FindAtomW,0x2bd0b4d5
FindClose,0xd82bf69a
FindCloseA,0xc3dbcf27
FindCloseW,0x370f7a76
FindCloseChangeNotification,0x15cf59ed
FindCloseChangeNotificationA,0xd77cf17
FindCloseChangeNotificationW,0xf9a37a46
FindClosePrinterChangeNotification,0x7a14595e
FindClosePrinterChangeNotificationA,0x5f70f621
FindClosePrinterChangeNotificationW,0xaba44370
FindFirstChangeNotification,0xe2fcc287
FindFirstChangeNotificationA,0xa0e774ca
FindFirstChangeNotificationW,0x5433c19b
FindFirstFile,0xe89f3814
FindFirstFileA,0xc9ebd5ce
FindFirstFileW,0x3d3f609f
FindFirstFile/FindNextFile,0xaa0e7e29
FindFirstFile/FindNextFileA,0x91c10899
FindFirstFile/FindNextFileW,0x6515bdc8
FindFirstFileEx,0x94a5d7e5
FindFirstFileExA,0x32d2dab
FindFirstFileExW,0xf7f998fa
FindFirstFileNameW,0xcfe6e5b0
FindFirstFileNameWA,0x1877cbe2
FindFirstFileNameWW,0xeca37eb3
FindFirstPrinterChangeNotification,0xdf43403d
FindFirstPrinterChangeNotificationA,0x8b6e91da
FindFirstPrinterChangeNotificationW,0x7fba248b
FindFirstStreamW,0xaa761b1d
FindFirstStreamWA,0xb0758449
FindFirstStreamWW,0x44a13118
FindFirstVolume,0x3a4e41dd
FindFirstVolumeA,0x2b817ea3
FindFirstVolumeW,0xdf55cbf2
FindFirstVolumeMountPoint,0x47da5fcb
FindFirstVolumeMountPointA,0xdf285fec
FindFirstVolumeMountPointW,0x2bfceabd
FindNextChangeNotification,0x9c8d4ed8
FindNextChangeNotificationA,0x5b4d4923
FindNextChangeNotificationW,0xaf99fc72
FindNextFile,0x42e0a4a5
FindNextFileA,0x75272948
FindNextFileW,0x81f39c19
FindNextFileNameW,0x1e92e106
FindNextFileNameWA,0x3aa4a95f
FindNextFileNameWW,0xce701c0e
FindNextPrinterChangeNotification,0x2cfe1310
FindNextPrinterChangeNotificationA,0xce4270fc
FindNextPrinterChangeNotificationW,0x3a96c5ad
FindNextStreamW,0x73a4262b
FindNextStreamWA,0x7f16c3ed
FindNextStreamWW,0x8bc276bc
FindNextVolume,0x3e29ab34
FindNextVolumeA,0xf2534395
FindNextVolumeW,0x687f6c4
FindNextVolumeMountPoint,0xd54ffb4
FindNextVolumeMountPointA,0x1fd8bde1
FindNextVolumeMountPointW,0xeb0c08b0
FindResource,0x6176d180
FindResourceA,0x3e006b7a
FindResourceW,0xcad4de2b
FindResourceEx,0x585e4bce
FindResourceExA,0xaf5d2f77
FindResourceExW,0x5b899a26
FindVolumeClose,0x8aa21257
FindVolumeCloseA,0x265cf8ce
FindVolumeCloseW,0xd2884d9f
FindVolumeMountPointClose,0xb64d92a9
FindVolumeMountPointCloseA,0x7c65c855
FindVolumeMountPointCloseW,0x88b17d04
FindWindow,0x7fcaf59
FindWindowA,0xc1698b74
FindWindowW,0x35bd3e25
FindWindowEx,0xbf190f29
FindWindowExA,0x91d41fe8
FindWindowExW,0x6500aab9
FlashWindow,0x72b5dae0
FlashWindowA,0x73a1c929
FlashWindowW,0x87757c78
FlashWindowEx,0xaa71ea22
FlashWindowExA,0x613ae85
FlashWindowExW,0xf2c71bd4
FlattenPath,0x119dd4e3
FlattenPathA,0xeacbb09d
FlattenPathW,0x1e1f05cc
FloodFill,0x501e754f
FloodFillA,0x35eadcff
FloodFillW,0xc13e69ae
FlsAlloc,0x28000171
FlsAllocA,0xf4f3df20
FlsAllocW,0x276a71
FlsCallback,0xb222b0b7
FlsCallbackA,0x866e9a14
FlsCallbackW,0x72ba2f45
FlsFree,0xb7ab7be9
FlsFreeA,0xab86f2c
FlsFreeW,0xfe6cda7d
FlsGetValue,0x277e1ee2
FlsGetValueA,0x9dfa63c1
FlsGetValueW,0x692ed690
FlsSetValue,0xdf8f2133
FlsSetValueA,0x6cd670bc
FlsSetValueW,0x9802c5ed
FlushConsoleInputBuffer,0x666f8934
FlushConsoleInputBufferA,0xf20b05b7
FlushConsoleInputBufferW,0x6dfb0e6
FlushFileBuffers,0xfa3d2f88
FlushFileBuffersA,0x3040a8b6
FlushFileBuffersW,0xc4941de7
FlushInstructionCache,0xe9258e7a
FlushInstructionCacheA,0x63e02327
FlushInstructionCacheW,0x97349676
FlushPrinter,0xfb98454d
FlushPrinterA,0xdb4f3be3
FlushPrinterW,0x2f9b8eb2
FlushTrace,0x2156b8ec
FlushTraceA,0x7a446660
FlushTraceW,0x8e90d331
FlushViewOfFile,0x9779a46e
FlushViewOfFileA,0x7944ab70
FlushViewOfFileW,0x8d901e21
FoldString,0x23999ada
FoldStringA,0xb5fc3cdb
FoldStringW,0x4128898a
ForegroundIdleProc,0xaa317dde
ForegroundIdleProcA,0xb2185025
ForegroundIdleProcW,0x46cce574
FormatMessage,0x4de3436f
FormatMessageA,0xe990101
FormatMessageW,0xfa4db450
FrameRect,0x5b2d1885
FrameRectA,0x4e50c43c
FrameRectW,0xba84716d
FrameRgn,0xb05bf6d2
FrameRgnA,0xbbb47685
FrameRgnW,0x4f60c3d4
FreeConsole,0x4deb7485
FreeConsoleA,0x4e460250
FreeConsoleW,0xba92b701
FreeDDElParam,0x28954da2
FreeDDElParamA,0xeb29c902
FreeDDElParamW,0x1ffd7c53
FreeEncryptionCertificateHashList,0x363a3107
FreeEncryptionCertificateHashListA,0x4d8b3119
FreeEncryptionCertificateHashListW,0xb95f8448
FreeEnvironmentStrings,0x4c852820
FreeEnvironmentStringsA,0xe8fb3b6b
FreeEnvironmentStringsW,0x1c2f8e3a
FreeLibrary,0xda68238f
FreeLibraryA,0xae046819
FreeLibraryW,0x5ad0dd48
FreeLibraryAndExitThread,0x67b5cf40
FreeLibraryAndExitThreadA,0xa5626ad4
FreeLibraryAndExitThreadW,0x51b6df85
FreeLibraryWhenCallbackReturns,0x4fb2491f
FreeLibraryWhenCallbackReturnsA,0x5e9e2137
FreeLibraryWhenCallbackReturnsW,0xaa4a9466
FreePrinterNotifyInfo,0x48c7da61
FreePrinterNotifyInfoA,0xe924089f
FreePrinterNotifyInfoW,0x1df0bdce
FreeUserPhysicalPages,0x464ddf86
FreeUserPhysicalPagesA,0xd744f541
FreeUserPhysicalPagesW,0x23904010
FtpPutFile,0x8b06920
FtpPutFileA,0xe8bf0e2a
FtpPutFileW,0x1c6bbb7b
GdiComment,0x9762ab19
GdiCommentA,0xb72554e0
GdiCommentW,0x43f1e1b1
GdiFlush,0xa57aae4f
GdiFlushA,0x351fb824
GdiFlushW,0xc1cb0d75
GdiGetBatchLimit,0x34c08e8f
GdiGetBatchLimitA,0xaeeac0b4
GdiGetBatchLimitW,0x5a3e75e5
GdiSetBatchLimit,0x407e42c3
GdiSetBatchLimitA,0xd1f473c3
GdiSetBatchLimitW,0x2520c692
GenerateConsoleCtrlEvent,0x22b2fe8b
GenerateConsoleCtrlEventA,0xa99176dd
GenerateConsoleCtrlEventW,0x5d45c38c
GetACP,0xd777fe44
GetACPA,0xa2bf6cfc
GetACPW,0x566bd9ad
GetActivePwrScheme,0x7b4ad51e
GetActivePwrSchemeA,0x29ade93d
GetActivePwrSchemeW,0xdd795c6c
GetActiveWindow,0x17b33f70
GetActiveWindowA,0x83cb5c88
GetActiveWindowW,0x771fe9d9
GetAdaptersInfo,0x32a4b9e0
GetAdaptersInfoA,0x73e1d84a
GetAdaptersInfoW,0x87356d1b
GetAltTabInfo,0x6f8a1e5f
GetAltTabInfoA,0x286258f0
GetAltTabInfoW,0xdcb6eda1
GetAncestor,0x996538e9
GetAncestorA,0xa96a16f
GetAncestorW,0xfe42143e
GetApplicationRecoveryCallback,0x28402a11
GetApplicationRecoveryCallbackA,0xb941fe53
GetApplicationRecoveryCallbackW,0x4d954b02
GetApplicationRestartSettings,0x7a9a1e9
GetApplicationRestartSettingsA,0xa086df6
GetApplicationRestartSettingsW,0xfedcd8a7
GetArcDirection,0x99f068b6
GetArcDirectionA,0xf142785a
GetArcDirectionW,0x596cd0b
GetAspectRatioFilterEx,0x66a40ba6
GetAspectRatioFilterExA,0xec0a3c5d
GetAspectRatioFilterExW,0x18de890c
GetAsyncKeyState,0x84029700
GetAsyncKeyStateA,0xd35d9c1c
GetAsyncKeyStateW,0x2789294d
GetAtomName,0xb430d671
GetAtomNameA,0xf46feff7
GetAtomNameW,0xbb5aa6
GetBinaryType,0xc2ff7dd
GetBinaryTypeA,0x2bb71f15
GetBinaryTypeW,0xdf63aa44
GetBitmapBits,0x574a7968
GetBitmapBitsA,0x90e73d98
GetBitmapBitsW,0x643388c9
GetBitmapDimensionEx,0x2f42ee19
GetBitmapDimensionExA,0xb79d74a5
GetBitmapDimensionExW,0x4349c1f4
GetBkColor,0x71102417
GetBkColorA,0x507b0b68
GetBkColorW,0xa4afbe39
GetBkMode,0x6618fa35
GetBkModeA,0x850c4252
GetBkModeW,0x71d8f703
GetBoundsRect,0xc9b4e4c
GetBoundsRectA,0xacbf087e
GetBoundsRectW,0x586bbd2f
GetBrushOrgEx,0x2dd037c7
GetBrushOrgExA,0xd6f419af
GetBrushOrgExW,0x2220acfe
GetCPInfo,0x27f6d6fb
GetCPInfoA,0xf99143c9
GetCPInfoW,0xd45f698
GetCPInfoEx,0xaf138d0
GetCPInfoExA,0x5500bd67
GetCPInfoExW,0xa1d40836
GetCalendarInfo,0x4f4f7861
GetCalendarInfoA,0xe923803d
GetCalendarInfoW,0x1df7356c
GetCapture,0x782d6f29
GetCaptureA,0x91132b88
GetCaptureW,0x65c79ed9
GetCaretBlinkTime,0xd81e810c
GetCaretBlinkTimeA,0xdab7cc21
GetCaretBlinkTimeW,0x2e637970
GetCaretPos,0x30167850
GetCaretPosA,0xb882d907
GetCaretPosW,0x4c566c56
GetCharABCWidths,0x21368890
GetCharABCWidthsA,0x23f73b47
GetCharABCWidthsW,0xd7238e16
GetCharABCWidthsFloat,0x5df64494
GetCharABCWidthsFloatA,0x24e63f92
GetCharABCWidthsFloatW,0xd0328ac3
GetCharABCWidthsI,0x2d2cb375
GetCharABCWidthsIA,0xf39b378b
GetCharABCWidthsIW,0x74f82da
GetCharWidth,0xe5cc75e9
GetCharWidthA,0xaea0822
GetCharWidthW,0xfe3ebd73
GetCharWidth32,0xd2b60e95
GetCharWidth32A,0x536e4f4e
GetCharWidth32W,0xa7bafa1f
GetCharWidthFloat,0xcafdec1c
GetCharWidthFloatA,0xc7123f28
GetCharWidthFloatW,0x33c68a79
GetCharWidthI,0x4318010
GetCharWidthIA,0xce6abf6f
GetCharWidthIW,0x3abe0a3e
GetCharacterPlacement,0xcf9caed5
GetCharacterPlacementA,0x25af247e
GetCharacterPlacementW,0xd17b912f
GetClassInfo,0xd5aeeeea
GetClassInfoA,0x93d33b03
GetClassInfoW,0x67078e52
GetClassInfoEx,0x712a5106
GetClassInfoExA,0x3acb11ef
GetClassInfoExW,0xce1fa4be
GetClassLong,0x25b076d5
GetClassLongA,0x254508a6
GetClassLongW,0xd191bdf7
GetClassLongPtr,0x5fe3c142
GetClassLongPtrA,0x4b545df6
GetClassLongPtrW,0xbf80e8a7
GetClassName,0x4004a1bb
GetClassNameA,0x8f2af02e
GetClassNameW,0x7bfe457f
GetClassWord,0xddd6aaac
GetClassWordA,0xc64a7e2
GetClassWordW,0xf8b012b3
GetClientRect,0xe07c965f
GetClientRectA,0x28edae78
GetClientRectW,0xdc391b29
GetClipBox,0x9b6fed83
GetClipBoxA,0xa7f323fc
GetClipBoxW,0x532796ad
GetClipCursor,0xae8780ab
GetClipCursorA,0x9273636b
GetClipCursorW,0x66a7d63a
GetClipRgn,0xbb4471aa
GetClipRgnA,0xe561900c
GetClipRgnW,0x11b5255d
GetClipboardData,0x1dcbd147
GetClipboardDataA,0x3b7c8169
GetClipboardDataW,0xcfa83438
GetClipboardFormatName,0x7fef6832
GetClipboardFormatNameA,0x1b712063
GetClipboardFormatNameW,0xefa59532
GetClipboardOwner,0xf3d33a8f
GetClipboardOwnerA,0xae2dd300
GetClipboardOwnerW,0x5af96651
GetClipboardSequenceNumber,0xfc645100
GetClipboardSequenceNumberA,0xd325fada
GetClipboardSequenceNumberW,0x27f14f8b
GetClipboardViewer,0x27d4bc2f
GetClipboardViewerA,0x782f776e
GetClipboardViewerW,0x8cfbc23f
GetColorAdjustment,0xfc84b3d0
GetColorAdjustmentA,0x55f6c8ec
GetColorAdjustmentW,0xa1227dbd
GetComboBoxInfo,0x86e72079
GetComboBoxInfoA,0xfa86b033
GetComboBoxInfoW,0xe520562
GetCommConfig,0x4bc0a68
GetCommConfigA,0x90b4cbeb
GetCommConfigW,0x64607eba
GetCommMask,0xff480505
GetCommMaskA,0xa34c2201
GetCommMaskW,0x57989750
GetCommModemStatus,0xcdf29586
GetCommModemStatusA,0xd7cf4a0b
GetCommModemStatusW,0x231bff5a
GetCommProperties,0x69f136a5
GetCommPropertiesA,0x750c38da
GetCommPropertiesW,0x81d88d8b
GetCommState,0xf5a0311e
GetCommStateA,0x292303d9
GetCommStateW,0xddf7b688
GetCommTimeouts,0x6024af32
GetCommTimeoutsA,0x1b6eeba4
GetCommTimeoutsW,0xefba5ef5
GetCommandLine,0x6b343898
GetCommandLineA,0x2d66b1c5
GetCommandLineW,0xd9b20494
GetCompressedFileSize,0x29179998
GetCompressedFileSizeA,0x2d249264
GetCompressedFileSizeW,0xd9f02735
GetComputerName,0x5c988393
GetComputerNameA,0xba83c4f6
GetComputerNameW,0x4e5771a7
GetComputerNameEx,0xbcd4076a
GetComputerNameExA,0x7e02c2ca
GetComputerNameExW,0x8ad6779b
GetComputerObjectName,0x40c97aae
GetComputerObjectNameA,0xe2f7d91e
GetComputerObjectNameW,0x16236c4f
GetConsoleCP,0xcd55ae54
GetConsoleCPA,0xbf125ec8
GetConsoleCPW,0x4bc6eb99
GetConsoleCursorInfo,0x25c0ebaa
GetConsoleCursorInfoA,0xe5ff1496
GetConsoleCursorInfoW,0x112ba1c7
GetConsoleDisplayMode,0x1f88a7b8
GetConsoleDisplayModeA,0x167c2d92
GetConsoleDisplayModeW,0xe2a898c3
GetConsoleFontSize,0xd2bf9784
GetConsoleFontSizeA,0x39de6625
GetConsoleFontSizeW,0xcd0ad374
GetConsoleHistoryInfo,0x793127d1
GetConsoleHistoryInfoA,0x22744dee
GetConsoleHistoryInfoW,0xd6a0f8bf
GetConsoleMode,0x5dc127ff
GetConsoleModeA,0xfe86b021
GetConsoleModeW,0xa520570
GetConsoleOriginalTitle,0xf08695ab
GetConsoleOriginalTitleA,0x922d627e
GetConsoleOriginalTitleW,0x66f9d72f
GetConsoleOutputCP,0x9003414a
GetConsoleOutputCPA,0x45403544
GetConsoleOutputCPW,0xb1948015
GetConsoleProcessList,0x241dac12
GetConsoleProcessListA,0x2044f26f
GetConsoleProcessListW,0xd490473e
GetConsoleScreenBufferInfo,0x1635b31a
GetConsoleScreenBufferInfoA,0x2ead5242
GetConsoleScreenBufferInfoW,0xda79e713
GetConsoleScreenBufferInfoEx,0x704c5e69
GetConsoleScreenBufferInfoExA,0xe7c70b29
GetConsoleScreenBufferInfoExW,0x1313be78
GetConsoleSelectionInfo,0x5e1f4119
GetConsoleSelectionInfoA,0xb7ec290a
GetConsoleSelectionInfoW,0x43389c5b
GetConsoleTitle,0x47fae6e6
GetConsoleTitleA,0x9af72320
GetConsoleTitleW,0x6e239671
GetConsoleWindow,0x1881cade
GetConsoleWindowA,0xb2aae092
GetConsoleWindowW,0x467e55c3
GetCurrencyFormat,0x63109f50
GetCurrencyFormatA,0xb8d1dfe0
GetCurrencyFormatW,0x4c056ab1
GetCurrentConsoleFont,0x7fc0e2d9
GetCurrentConsoleFontA,0x2ca93419
GetCurrentConsoleFontW,0xd87d8148
GetCurrentConsoleFontEx,0x8cf7d273
GetCurrentConsoleFontExA,0x1a5949df
GetCurrentConsoleFontExW,0xee8dfc8e
GetCurrentDirectory,0x4506271c
GetCurrentDirectoryA,0xc79dc4e3
GetCurrentDirectoryW,0x334971b2
GetCurrentHwProfile,0x77df80b0
GetCurrentHwProfileA,0x18cff287
GetCurrentHwProfileW,0xec1b47d6
GetCurrentObject,0x806bbad9
GetCurrentObjectA,0x2c569f41
GetCurrentObjectW,0xd8822a10
GetCurrentPositionEx,0x2ea13ce2
GetCurrentPositionExA,0x9df3bce3
GetCurrentPositionExW,0x692709b2
GetCurrentPowerPolicies,0x9c1969f8
GetCurrentPowerPoliciesA,0x6023fdcc
GetCurrentPowerPoliciesW,0x94f7489d
GetCurrentProcess,0xd0861aa4
GetCurrentProcessA,0x2b27f60
GetCurrentProcessW,0xf666ca31
GetCurrentProcessId,0x1db413e3
GetCurrentProcessIdA,0xeac7995a
GetCurrentProcessIdW,0x1e132c0b
GetCurrentProcessorNumber,0x9b55b5d7
GetCurrentProcessorNumberA,0xcbf58c49
GetCurrentProcessorNumberW,0x3f213918
GetCurrentThread,0x19e65db6
GetCurrentThreadA,0xf1c26e6f
GetCurrentThreadW,0x516db3e
GetCurrentThreadId,0x8df87e63
GetCurrentThreadIdA,0x7ef5617
GetCurrentThreadIdW,0xf33be346
GetCursor,0xafc7ee9c
GetCursorA,0x2acf860a
GetCursorW,0xde1b335b
GetCursorInfo,0xfd83c22f
GetCursorInfoA,0x78f52010
GetCursorInfoW,0x8c219541
GetCursorPos,0x89606806
GetCursorPosA,0x3a335bd6
GetCursorPosW,0xcee7ee87
GetDC,0x8312ed2
GetDCA,0xbb0c1c5d
GetDCW,0x4fd8a90c
GetDCBrushColor,0x70ed07fc
GetDCBrushColorA,0x67a2cdbb
GetDCBrushColorW,0x937678ea
GetDCEx,0xfdd1f2d2
GetDCExA,0xbbf9fc81
GetDCExW,0x4f2d49d0
GetDCOrgEx,0x1d573ee2
GetDCOrgExA,0x9dc04ae1
GetDCOrgExW,0x6914ffb0
GetDCPenColor,0x9e2d1d5e
GetDCPenColorA,0x5f94cf65
GetDCPenColorW,0xab407a34
GetDIBColorTable,0x5851d425
GetDIBColorTableA,0x98851b18
GetDIBColorTableW,0x6c51ae49
GetDIBits,0xe9b8aea8
GetDIBitsA,0xb3d0dff
GetDIBitsW,0xffe9b8ae
GetDateFormat,0x7489f347
GetDateFormatA,0x3b15c34b
GetDateFormatW,0xcfc1761a
GetDefaultCommConfig,0xa1ab0a3b
GetDefaultCommConfigA,0x6273dca5
GetDefaultCommConfigW,0x96a769f4
GetDefaultPrinter,0x3b4faae2
GetDefaultPrinterA,0x9de65275
GetDefaultPrinterW,0x6932e724
GetDesktopWindow,0x4b220411
GetDesktopWindowA,0xb9229c7d
GetDesktopWindowW,0x4df6292c
GetDeviceCaps,0x3d019375
GetDeviceCapsA,0xf38b1aab
GetDeviceCapsW,0x75faffa
GetDeviceDriverBaseName,0x25d9a876
GetDeviceDriverBaseNameA,0x6a9a932a
GetDeviceDriverBaseNameW,0x9e4e267b
GetDeviceDriverFileName,0x60fc58a5
GetDeviceDriverFileNameA,0x750535b4
GetDeviceDriverFileNameW,0x81d180e5
GetDevicePowerState,0x8e960b
GetDevicePowerStateA,0x440bc995
GetDevicePowerStateW,0xb0df7cc4
GetDiskFreeSpace,0xd795ecd5
GetDiskFreeSpaceA,0x25b72d3c
GetDiskFreeSpaceW,0xd163986d
GetDiskFreeSpaceEx,0xc7fa182d
GetDiskFreeSpaceExA,0x96c138e6
GetDiskFreeSpaceExW,0x62158db7
GetDllDirectory,0x74ea3e8f
GetDllDirectoryA,0xaeaaea04
GetDllDirectoryW,0x5a7e5f55
GetDoubleClickTime,0xd4cd7290
GetDoubleClickTimeA,0x2302c0bd
GetDoubleClickTimeW,0xd7d675ec
GetDriveType,0x132b7bb2
GetDriveTypeA,0xf6a56750
GetDriveTypeW,0x271d201
GetDynamicTimeZoneInformation,0x30a56faf
GetDynamicTimeZoneInformationA,0x9580859d
GetDynamicTimeZoneInformationW,0x615430cc
GetEnhMetaFile,0x1ccbb684
GetEnhMetaFileA,0x39101204
GetEnhMetaFileW,0xcdc4a755
GetEnhMetaFileBits,0x4ae7d275
GetEnhMetaFileBitsA,0xf3fcfcea
GetEnhMetaFileBitsW,0x72849bb
GetEnhMetaFileDescription,0xbe2ecb63
GetEnhMetaFileDescriptionA,0x7dc80a2
GetEnhMetaFileDescriptionW,0xf30835f3
GetEnhMetaFileHeader,0xc708359e
GetEnhMetaFileHeaderA,0xc4a928fd
GetEnhMetaFileHeaderW,0x307d9dac
GetEnhMetaFilePaletteEntries,0x8432bbbf
GetEnhMetaFilePaletteEntriesA,0x8883022d
GetEnhMetaFilePaletteEntriesW,0x7c57b77c
GetEnvironmentStrings,0x88b82e4f
GetEnvironmentStringsA,0x35327aa4
GetEnvironmentStringsW,0xc1e6cff5
GetEnvironmentVariable,0xe7c5ff5b
GetEnvironmentVariableA,0x2f87d308
GetEnvironmentVariableW,0xdb536659
GetErrorMode,0x8c84af86
GetErrorModeA,0xd78e3c31
GetErrorModeW,0x235a8960
GetEventLogInformation,0x14c20fbc
GetEventLogInformationA,0x111aa323
GetEventLogInformationW,0xe5ce1672
GetExceptionCode,0x2e0e09c3
GetExceptionCodeA,0xd19a0388
GetExceptionCodeW,0x254eb6d9
GetExceptionInformation,0x8aeb1510
GetExceptionInformationA,0xcee465fa
GetExceptionInformationW,0x3a30d0ab
GetExitCodeProcess,0x1cca53fd
GetExitCodeProcessA,0x10c9da79
GetExitCodeProcessW,0xe41d6f28
GetExitCodeThread,0x59d89102
GetExitCodeThreadA,0x3d8e2736
GetExitCodeThreadW,0xc95a9267
GetExpandedName,0xf42c78c0
GetExpandedNameA,0x48497043
GetExpandedNameW,0xbc9dc512
GetFileAttributes,0xda898588
GetFileAttributesA,0x30601c1c
GetFileAttributesW,0xc4b4a94d
GetFileAttributesEx,0xfc81efd4
GetFileAttributesExA,0x529b09a9
GetFileAttributesExW,0xa64fbcf8
GetFileBandwidthReservation,0xc22f1b42
GetFileBandwidthReservationA,0x4bc9912c
GetFileBandwidthReservationW,0xbf1d247d
GetFileInformationByHandle,0xb9c060f8
GetFileInformationByHandleA,0x600624c5
GetFileInformationByHandleW,0x94d29194
GetFileInformationByHandleEx,0x3dee39c
GetFileInformationByHandleExA,0x2a639f07
GetFileInformationByHandleExW,0xdeb72a56
GetFileSize,0xa7fb4165
GetFileSizeA,0xeea6f01d
GetFileSizeW,0x1a72454c
GetFileSizeEx,0x8b5819ae
GetFileSizeExA,0xe23c487d
GetFileSizeExW,0x16e8fd2c
GetFileTime,0x3faffd4a
GetFileTimeA,0x45ef99f8
GetFileTimeW,0xb13b2ca9
GetFileType,0xdce53226
GetFileTypeA,0x108fe44
GetFileTypeW,0xf5dc4b15
GetFileVersionInfo,0x8ea8cf9d
GetFileVersionInfoA,0x5de9d9bd
GetFileVersionInfoW,0xa93d6cec
GetFileVersionInfoSize,0xeef5fb96
GetFileVersionInfoSizeA,0xca5b5d01
GetFileVersionInfoSizeW,0x3e8fe850
GetFinalPathNameByHandle,0x809f78c9
GetFinalPathNameByHandleA,0x31e17be7
GetFinalPathNameByHandleW,0xc535ceb6
GetFocus,0x6a64aaf8
GetFocusA,0x60d5800f
GetFocusW,0x9401355e
GetFontData,0x8e50bc6f
GetFontDataA,0xe5ab2fe
GetFontDataW,0xfa8e07af
GetFontLanguageInfo,0xb530ef4
GetFontLanguageInfoA,0x6902fb80
GetFontLanguageInfoW,0x9dd64ed1
GetFontUnicodeRanges,0x35712a75
GetFontUnicodeRangesA,0xf3836a12
GetFontUnicodeRangesW,0x757df43
GetForegroundWindow,0x5d79d927
GetForegroundWindowA,0x768e5239
GetForegroundWindowW,0x825ae768
GetForm,0x9b55c102
GetFormA,0x3d4caa66
GetFormW,0xc9981f37
GetFullPathName,0x4bfe33d1
GetFullPathNameA,0x224682fa
GetFullPathNameW,0xd69237ab
GetGUIThreadInfo,0xf13fa34f
GetGUIThreadInfoA,0x354bfd29
GetGUIThreadInfoW,0xc19f4878
GetGeoInfo,0x290a5bd9
GetGeoInfoA,0x2cfffea0
GetGeoInfoW,0xd82b4bf1
GetGlyphIndices,0x4138f146
GetGlyphIndicesA,0x4c2742df
GetGlyphIndicesW,0xb8f3f78e
GetGlyphOutline,0x670b8d8
GetGlyphOutlineA,0x5bd7b4d5
GetGlyphOutlineW,0xaf030184
GetGraphicsMode,0xe3a7fb5a
GetGraphicsModeA,0x5884819a
GetGraphicsModeW,0xac5034cb
GetGuiResources,0x99f87201
GetGuiResourcesA,0xa447566f
GetGuiResourcesW,0x5093e33e
GetIconInfo,0x17a65a05
GetIconInfoA,0xa3a4cc5e
GetIconInfoW,0x5770790f
GetInputState,0xe14db66d
GetInputStateA,0xe03bced8
GetInputStateW,0x14ef7b89
GetJob,0x2ac42b8b
GetJobA,0xa9990008
GetJobW,0x5d4db559
GetKBCodePage,0x2a99b6bf
GetKBCodePageA,0x882da920
GetKBCodePageW,0x7cf91c71
GetKerningPairs,0xdb2381fb
GetKerningPairsA,0xf96d969e
GetKerningPairsW,0xdb923cf
GetKeyNameText,0x116b77f3
GetKeyNameTextA,0xf77c565a
GetKeyNameTextW,0x3a8e30b
GetKeyState,0x2b510b7f
GetKeyStateA,0x1348a32d
GetKeyStateW,0xe79c167c
GetKeyboardLayout,0xa129cde7
GetKeyboardLayoutA,0xed16c09d
GetKeyboardLayoutW,0x19c275cc
GetKeyboardLayoutList,0xd3b22721
GetKeyboardLayoutListA,0x9f633cf2
GetKeyboardLayoutListW,0x6bb789a3
GetKeyboardLayoutName,0xc959a13f
GetKeyboardLayoutNameA,0x6576ea17
GetKeyboardLayoutNameW,0x91a25f46
GetKeyboardState,0xd4f7673b
GetKeyboardStateA,0x620680c8
GetKeyboardStateW,0x96d23599
GetKeyboardType,0xef5b0128
